Volume,Issue,Publication Year,Editor,Caption,Retail information,Photographer,date_column
178,3,1988,"Mirabella, Grace","polished…: Charming for day, a spirited approach to dressing and hair, subtle skin-heightening makeup: the look","Cotton/Lycra shirt, $368. If Soho, NYC; Romanoff Boutiques, Bal Harbour FL; Maxfield, Los Angeles. Beret at",Richard Avedon,1988_03_01
178,2,1988,"Mirabella, Grace",color strokes: Attractiveness in the modern sense begins with a new sensibility of color…and texture: a fresh hit,"Silk taffeta shirt, $330. Bloomingdale's, NYC. Lambswool/angora/nylon sweater, $185. Dianne B., NYC. Earrings",Richard Avedon,1988_02_01
178,1,1988,"Mirabella, Grace","a fast start...on '88: clothes that count, colors that count, a new energy in hair and makeup, seen on our cover","Fuchsia Ultrasuede coat, $1295 by Geoffrey Beene; Bergdorf Goodman. Classic Courreges turtleneck. Earrings,",Richard Avedon,1988_01_01
177,12,1987,"Mirabella, Grace","Healthy good looks—glowing skin, shiny hair-taken one step further, and heightened for day. The look, achieved","Scarf at Bloomingdale's; Nordstrom. Necklace at Fred Leighton, Ltd., NYC.",Richard Avedon,1987_12_01
177,11,1987,"Mirabella, Grace","sizzle: At night, the appeal of rich color, an expanse of bareness, fragrance with impact. The starting point:","Earrings at Bloomingdale's; Tabandeh, Washington DC; Caché stores; Nordstrom, Costa Mesa CA.",Richard Avedon,1987_11_01
177,10,1987,"Mirabella, Grace","COLOR the accessory of the moment, giving everything—fashion or beauty—a new edge: In makeup, to heighten","Silk-satin dress. Earrings at Saks Fifth Avenue; Sakowitz; I. Magnin. Rings at The Great Salt Marsh, NYC.",Richard Avedon,1987_10_01
177,9,1987,"Mirabella, Grace",What women want now from their hair/makeup regimes are faster effects with less effort. One idea: the very,"Jacket, late Sept. at Emanuel Ungaro Boutique, NYC, Palm Beach FL; Amen Wardy, Newport Beach CA.",Richard Avedon,1987_09_01
177,8,1987,"Mirabella, Grace","FAST ANSWERS: That's what busy women are looking for today... in every aspect of their lives, but especially in","Cap at Barneys New York; Alan Bilzerian, Boston and Worchester MA; City, Chicago.",Richard Avedon,1987_08_01
177,7,1987,"Mirabella, Grace","Summer cool...on our cover, on model Paulina Porizkova, begins with the idea that even with a more neutral","Earrings at Lord & Taylor; Indigo, Chappaqua and Hastings NY; Cuoio, Boston; Macy's, Florida and Texas.",Richard Avedon,1987_07_01
177,6,1987,"Mirabella, Grace","Real-life beauty, on our cover, on model Estelle LeFebure, begins with skin care...with the daily use of",,Richard Avedon,1987_06_01
177,5,1987,"Mirabella, Grace","SUMMER STYLE...on our cover, on model Tatjana Patitz, starts with the look of bare skin...and the very appealing",,Richard Avedon,1987_05_01
177,4,1987,"Mirabella, Grace",NEW GOALS: Just as our ideas about fitness are changing—becoming less obsessive and based on a more,"Bustier, Giorgio di Sant'Angelo. Martha. Earrings, Angie Gooderham. The Antique Boutique, NYC, Boston; Cotton",Richard Avedon,1987_04_01
177,3,1987,"Mirabella, Grace","Capturing the look of spring '87, on our cover, on model Estelle Lefevre: the appeal of barer dressing...simple","Hat brim, Altman's; Neiman-Marcus; I. Magnin. Earrings, Grand Jury, Bethesda, MD; YÜ, Chicago.",Richard Avedon,1987_03_01
177,2,1987,"Mirabella, Grace","MODERN EVENING: Now, along with a move to less color—to makeup with a lighter, sheerer texture—there is","Scarf at Isabel Canovas, NYC",Richard Avedon,1987_02_01
177,1,1987,"Mirabella, Grace","CHANGES…in women's lives, in the numbers of women now working have redefined not only our needs but our",,Richard Avedon,1987_01_01
176,12,1986,"Mirabella, Grace","Modern attraction...as simple, as dramatic as it gets at night—an uncomplicated day-into-night approach—on our",Collar stud at Barneys New York.,Richard Avedon,1986_12_01
176,11,1986,"Mirabella, Grace","Evening…the modern approach, on our cover, on model Estelle LeFebure—a move to bareness in dressing...in","Earrings at Bloomingdale's Cul-de-Sac; Tabandeh, Washington DC; Nordstrom, Northern CA; at all Caché Stores.",Richard Avedon,1986_11_01
176,10,1986,"Mirabella, Grace","MODERN beauty ideal…a healthy awareness, today, that the best makeup ""base"" is protected, well-cared-for skin",,Richard Avedon,1986_10_01
176,9,1986,"Mirabella, Grace",,,,1986_09_01
176,8,1986,"Mirabella, Grace","On our cover, on model Cindy Crawford, the look of makeup that is no longer defined by time of day so much as",,Richard Avedon,1986_08_01
176,7,1986,"Mirabella, Grace","Summer moods, modern pleasures... based on a very different—pared-down but polished approach—to makeup,","Turtleneck, $60. Tapemeasure, Westhampton NY. Pin at Henri Bendel; Knit Wit, Philadelphia; Ultimo, Chicago;",Richard Avedon,1986_07_01
176,6,1986,"Mirabella, Grace","The fresh appeal of summer beauty...of a simple, easy makeup idea that—literally—can be done in minutes. On","Hat at Charivari, NYC; P. H. Reed, Middleburg VA; Handle With Care, Chicago. Inset photo: Clothing, Donna",Richard Avedon,1986_06_01
176,5,1986,"Mirabella, Grace","Clearly, supermodel Paulina Porizkova, on our cover, is a shining example of the natural, fit, free-wheeling beauty","Bracelet at Artwear, NYC; Carrie Simonton, Centreville DE.",Richard Avedon,1986_05_01
176,4,1986,"Mirabella, Grace","Fitness: it makes a difference in everything women do, today...from the way they dress to their approach to","Bracelets, Bergdorf Goodman; I Magnin.",Richard Avedon,1986_04_01
176,3,1986,"Mirabella, Grace","The difference in makeup this spring—nothing overpowering, overdramatic, just soft, light shades that enhance","Hat, Bergdorf Goodman; Charles Sumner, Boston. Earrings, Barneys New York; Stanley Korshak, Chicago.",Richard Avedon,1986_03_01
176,2,1986,"Mirabella, Grace","This spring, accessories provide a big part of the pleasure of dressing. And the newest beauty ""accessory"" this","Hat, Metropolitan Store Gallery, NYC. Stain Guard gloves by Aris Isotoner. Altman's. Bracelets at Bonwit Teller; I.",Richard Avedon,1986_02_01
176,1,1986,"Mirabella, Grace",High-impact makeup doesn't necessarily mean high effort—and one glance at our cover (model Linda Spierings),"Earrings at Artwear, NYC; Berrenaka Boutique Art to Wear, Coconut Grove FL; Details, Key West FL; D.N. Evans,",Richard Avedon,1986_01_01
175,12,1985,"Mirabella, Grace","COVER LOOK: special effect: Neutrals are the mainstays of most women's makeup ""wardrobes."" And why not?","Hat, Charivari, NYC. Choker, Bloomingdale's Cul-de-Sac.",Richard Avedon,1985_12_01
175,11,1985,"Mirabella, Grace","special: Toned-down, minimalist makeup has been an attractive option for a while, but what ""turns"" the look (on",Earrings at Henri Bendel. Ring at Bloomingdale's Cul-de-Sac.,Richard Avedon,1985_11_01
175,10,1985,"Mirabella, Grace","effect: Evening makeup, this fall, seems to take its opulence, its luminosity from one primary source: gold—","Earrings, $166. Saks Fifth Avenue, NYC.",Richard Avedon,1985_10_01
175,9,1985,"Mirabella, Grace","innovative: Attractiveness is not isolated parts but an integration—of makeup, hair, fashion. That relationship at","Hat at Bergdorf Goodman; L.S. Ayres. Earrings at Artwear, NYC; Jere Scott at Stanley Korshak, Chicago; Miriam",Richard Avedon,1985_09_01
175,8,1985,"Mirabella, Grace","specifics: Going for a change at night—it's an idea that's been streamlined, adapted to the realities of women's","Gloves at Bonwit Teller; Lou Lattimore, Dallas.",Richard Avedon,1985_08_01
175,7,1985,"Mirabella, Grace","advances: Clearly beguiling, unpretentious: pink! The most wearable, most modern tones are slightly deeper,","Brooch, $128. Henri Bendel; I. Magnin.",Richard Avedon,1985_07_01
175,6,1985,"Mirabella, Grace",innovations: At every time of year—and especially in summer— there are days when a woman opts for a more,"Earrings at Gindi, NYC; Frances Kahn, Lynchburg VA; I. Magnin.",Richard Avedon,1985_06_01
175,5,1985,"Mirabella, Grace","""freeing up"": Summer makeup...it's as simple as a slick of lipstick, a smudge of eyeliner, a coat of mascara. And,","Earrings available at Nonpareil, Chicago.",Richard Avedon,1985_05_01
175,4,1985,"Mirabella, Grace","specifics: Evening makeup changes...the idea is always appealing, but so often there's the problem of time. One","Earrings available at The Bill Schiffer Gallery, NYC; Jere Scott at Stanley Korshak, Chicago; Glitz, Los Angeles.",Richard Avedon,1985_04_01
175,3,1985,"Mirabella, Grace","spring change: Exciting new change in makeup this spring: a decided move towards a soft, natural, feminine","Earrings available at Altman's; Lilly Dodson, Richardson TX.",Richard Avedon,1985_03_01
175,2,1985,"Mirabella, Grace",enhancers: New look of spring: the fresh appeal of actress/model Brooke Shields on our cover. The idea behind,,Richard Avedon,1985_02_01
175,1,1985,"Mirabella, Grace","a fresh start: A new year, a time to take advantage of all the beauty boosts available now. And available they","Earrings, $158. Bloomingdale's Cul-de-Sac; Camille, Coconut Grove FL; La T Da, Dallas; Sakowitz; I. Magnin. Hat",Richard Avedon,1985_01_01
174,12,1984,"Mirabella, Grace","holiday mood: The appeal of the unexpected at night: the charm of a wig that is frankly a wig, seen on our cover","Wig manufactured by Phyllis. At Charivari, NYC Earrings at Bergdorf Goodman; M & J Savitt Salon at Stanley",Richard Avedon,1984_12_01
174,11,1984,"Mirabella, Grace","A special season: Clearly, the attitude toward makeup and hair for evening has never been freer. Where once",,Richard Avedon,1984_11_01
174,10,1984,"Mirabella, Grace",breakthroughs: Modern confidence: it comes from self esteem—a woman’s knowledge that she looks her healthy,,Richard Avedon,1984_10_01
174,9,1984,"Mirabella, Grace","Some seasons, what's ""left out"" of makeup is as important as what's added. This fall, what can look most","Earrings, $450. Bonwit Teller; Neiman-Marcus.",Richard Avedon,1984_09_01
174,8,1984,"Mirabella, Grace","makeup news: Attractiveness today takes on a whole new meaning; it's looking your best, certainly, but it's also","Cotton tunics, each $48. Macy's Herald Square and Deerbrook TX.",Richard Avedon,1984_08_01
174,7,1984,"Mirabella, Grace","real impact…. Going for the all-out glamour of iridescence on eyes, strong glossy color on the mouth, in a season","Earrings, $600. Bloomingdale's Cul-de-Sac; M&J Savitt Salon at Stanley Korshak, Chicago; NeimanMarcus; I.",Richard Avedon,1984_07_01
174,6,1984,"Mirabella, Grace",summer bests: What you notice first about the photo of superstar model Isabella Rossellini on our cover: a,"Hat, $65. Bloomingdale's; I. Magnin.",Richard Avedon,1984_06_01
174,5,1984,"Mirabella, Grace","energized!: Freshness, vitality, a certain ease in clothing, in the way you wear your hair—that's what the coming","Hat, $70. Charivari, NYC; Neiman-Marcus; Polo/Ralph Lauren, San Antonio; I. Magnin.",Richard Avedon,1984_05_01
174,4,1984,"Mirabella, Grace","Fresh, lively, confident ... these elements of modern attractiveness come together when skin is healthiest, body","Wool cardigan and scarf. Cardigan, $325. Scarf, $110. Both at Henri Bendel. Earrings at Bonwit Teller; Joseph",Richard Avedon,1984_04_01
174,3,1984,"Mirabella, Grace","Color: To most women, spring signals changes—not just in the weather and her wardrobe, but in a woman's",Green wool knit hat. About $45. Wool and silk blend dress. About $286. Wool knit sweater. About $140. Turnout,Richard Avedon,1984_03_01
174,2,1984,"Mirabella, Grace","impact: Actress, singer, model, dynamo—that's Shari Belafonte Harper, on our cover, glowing with a vitality that","Earrings, $35. Kruger Gallery, NYC; Featherstone, Dallas.",Richard Avedon,1984_02_01
174,1,1984,"Mirabella, Grace","a real lift: On our cover, model Jacki Adams and the appeal of high-performance makeup: Elizabeth Arden's",,Denis Piel,1984_01_01
173,12,1983,"Mirabella, Grace","Attractions: Shades of soft pastels, almost sheer in texture, the color deepened only on the lips. It's a look that's","Hat at Bergdorf Goodman. Scarves at Therapy, NYC; Ultimo, Chicago.",Richard Avedon,1983_12_01
173,11,1983,"Mirabella, Grace","Brooke Shields, model and Princeton University undergraduate with an unmistakable attractiveness all her own—","Earrings available at Robinson's, Newport Beach and Beverly Hills CA; I. Magnin.",Richard Avedon,1983_11_01
173,10,1983,"Mirabella, Grace","COVER LOOK: Brooke Shields, on our cover—actress, model, student, and extraordinary beauty—photographed","Earrings, $100. Saks Fifth Avenue, NYC. Scarf, $210. Bergdorf Goodman; Regine, Los Angeles.",Denis Piel,1983_10_01
173,9,1983,"Mirabella, Grace","COVER LOOK: A difference in makeup now: colors that are deep, matte, ""plush"" looking...that can be worn","Earrings, $200. Altman's, NYC; Jere Scott at Stanley Korshak, Chicago; Frost Bros; Grace Jones, Salado TX. One-",Richard Avedon,1983_09_01
173,8,1983,"Mirabella, Grace","real news...: Great looks now: more than just a pretty face...real spirit, vitality...the kind of knock-out energy",Scarf at Altman's.,Richard Avedon,1983_08_01
173,7,1983,"Mirabella, Grace","fresh attitude: Nastassia Kinski, on our cover, full-tilt actress with extraordinary presence, a riveting beauty",Earrings at Henri Bendel.,Richard Avedon,1983_07_01
173,6,1983,"Mirabella, Grace",new allure: What you’ll be seeing more of this summer: paler makeup—prettier-than-ever pinks…peaches…,"Cotton shirt and vest, available late June at OMO Norma Kamali, NYC. Chains, at Bonwit Teller; Robinson's,",Richard Avedon,1983_06_01
173,5,1983,"Mirabella, Grace","A hint off what's ahead this summer: a new ""minimalism"" in makeup...simplicity in shape and color. You see it in","Cotton blouse. OMO Norma Kamali, NYC. Earrings available at Saks Fifth Avenue, NYC; I. Magnin.",Richard Avedon,1983_05_01
173,4,1983,"Mirabella, Grace","On our cover, on model Renée Simonsen—the fresh glow of a very pretty, very natural makeup, a look that can","Earrings, Barney's. Necklace, to order at Barney's.",Richard Avedon,1983_04_01
173,3,1983,"Mirabella, Grace","COVER LOOK: Look, this spring, for the play of soft colors on cheeks and lips against eyes with real impact. The",,Richard Avedon,1983_03_01
173,2,1983,"Mirabella, Grace","On our cover: Merle Norman's new Luxiva Creme Beige foundation gives the smoothest, lightest base for Sienna","Scarf and T-shirt, $380. Dianne B., NYC. Earrings, $20. Bloomingdale's.",Richard Avedon,1983_02_01
173,1,1983,"Mirabella, Grace","A fresh start: Go... for a new year, a new freedom, a new pleasure in clothes and makeup. The appeal, on our","Wool sweater. Bergdorf Goodman. Earrings, $350. Saks Fifth Avenue, NYC.",Richard Avedon,1983_01_01
172,12,1982,"Mirabella, Grace","gala looks: Raves...now, when it all comes together: the season, the clothes, the makeup. The impact, on our","Earrings, $200, Saks Fifth Avenue, NYC.",Richard Avedon,1982_12_01
172,11,1982,"Mirabella, Grace",On this month's cover: model/actress Isabella Rossellini—a modern beauty—wearing makeup with one of this,,Richard Avedon,1982_11_01
172,10,1982,"Mirabella, Grace","Underlying the subtle shifts in make-up this season—in Shape color, and texture: a real wearability, in whatever","Jacket, $2700. Bergdorf Goodman.",Richard Avedon,1982_10_01
172,9,1982,"Mirabella, Grace","As the season for covering up in terms of fashion arrives, you'll be considering the word exposure in beauty more",,Richard Avedon,1982_09_01
172,8,1982,"Mirabella, Grace","This fall, there’s a fresh sense of total finish—of polish, of control…. In makeup, it’s foundation that’s barely","The red Shetland crewneck over a white broadcloth blouse, ascot-wrapped at the neck, by Perry Ellis. Earrings",Richard Avedon,1982_08_01
172,7,1982,"Mirabella, Grace","glowing looks: A look ahead, a first look at fall makeup: softer, with a subtle touch of shimmer and new emphasis","Dress at OMO Norma Kamali, NYC. Earrings at Bergdorf Goodman.",Richard Avedon,1982_07_01
172,6,1982,"Mirabella, Grace","This month, summer—a different frame of mind—sets in and, with it, a more relaxed way of dressing, a more","Blouse about $150. Saks Fifth Avenue, NYC; John Wanamaker; Marshall Field's; I. Magnin. Hat at OMO Norma",Richard Avedon,1982_06_01
172,5,1982,"Mirabella, Grace","Look revivers: lighter lip/eye colors, sensitive skin care, scent cheers fresh appeal: actress Nastassia Kinski, on",White cotton collar at Bloomingdale's.,Richard Avedon,1982_05_01
172,4,1982,"Mirabella, Grace","Warm-weather beauty at its best: glowing skin, the shimmer of coral-y makeup. On the cover: model Rosemary","Silk jacquard blouse. Earrings, available at Suzy, Great Neck NY; Lou Lattimore.",Richard Avedon,1982_04_01
172,3,1982,"Mirabella, Grace",,,,1982_03_01
172,2,1982,"Mirabella, Grace","The essence of this cover: the spring change...of climate and light, of the coloring and texture of what you're","A pale blue/white linen awning-striped dress—with [Perry Ellis's] narrow hip wrapped proportion, wonderful full",Bill King,1982_02_01
172,1,1982,"Mirabella, Grace","At the start of a new year—and one of our biggest skin-care issues ever (see pages 186-195), what better time","Tunic at Bergdorf Goodman; I. Magnin. Earrings, Robert Lee Morris available at Artwear, NYC; Body Sculpture,",Richard Avedon,1982_01_01
171,12,1981,"Mirabella, Grace","Sensational! For special evenings: Yves Saint Laurent’s dazzling suit—a snug cardigan and long, lean skirt,","Yves Saint Laurent silk organza suit. Embroidery by Lesage. Jewelry, Yves Saint Laurent.",Richard Avedon,1981_12_01
171,11,1981,"Mirabella, Grace","The ""Plus"" of a Little Dazzle: On the cover, Kim Alexis, and the ""plus""—the appealing softness of slightly","Adolfo sweater and matching pants. Late November at Saks Fifth Avenue; Montaldo's; Topps of Omaha, Omaha",Richard Avedon,1981_11_01
171,10,1981,"Mirabella, Grace","Nastassia Kinski... modern beauty, talked about actress, all-out charmer. And one of the strongest fashion","Mary McFadden blouse and silk taffeta skirt (Bianchini/Sormani). Available at Saks Fifth Avenue; John Freeman,",Richard Avedon,1981_10_01
171,9,1981,"Mirabella, Grace","New ""stars"" at night...in fashion, beauty: On the cover, Brooke Shields, and one of the best looks of makeup at","Rayon/velvet jacket. Silk charmeuse blouse. Turnout at Saks Fifth Avenue; Garfinckel's; O'Neil's, Akron OH;",Richard Avedon,1981_09_01
171,8,1981,"Mirabella, Grace","To watch for now: a sweater with a difference. On the cover, Kelly Emberg...and a softer approach to makeup:","Valentino top, pants, and cashmere muffler. Valentino Boutique, NYC; Panache, Millburn NJ; Barton Sligh's;",Richard Avedon,1981_08_01
171,7,1981,"Mirabella, Grace","On the cover, Kelly Emberg...and right-now color news in makeup—the glow you get from Ultima ll's Sun-","Ralph Lauren. Saks Fifth Avenue; Polo/Ralph Lauren Shop, Washington, DC; Ralph Lauren/Polo Shop, Coconut",Richard Avedon,1981_07_01
171,6,1981,"Mirabella, Grace","On the cover, Kim Alexis...with a wink, a smile, and a great look for summer: the lift of brighter colors, in","Perry Ellis at Henri Bendel; Marshall Field's; Dayton's; Bullock's. Earrings at Bergdorf Goodman; The Front Room,",Richard Avedon,1981_06_01
171,5,1981,"Mirabella, Grace","RED-HOT AND TERRIFIC!: The big news this summer: Red, here on Brooke Shields. The makeup to wear with","Minidress at OMO Norma Kamali, NYC; Neiman-Marcus. Earrings at Jimi Breazeale, NYC.",Richard Avedon,1981_05_01
171,4,1981,"Mirabella, Grace",SUPER SUMMER BEAUTY: For the beginning of summer...the beginning of our super beauty/fitness issue—Kim,"Cymbal-shaped silicone earrings with gold sparkles and rhinestones, by Carol Motty Silicone. Henri Bendel; Saks-",Richard Avedon,1981_04_01
171,3,1981,"Mirabella, Grace","THE BIG ACCESSORY IDEA: On our cover, Carol Alt has the Idea—pieces that move, that bring something extra","Ralph Lauren cotton interlock T-shirt and cotton poplin windbreak. Bloomingdale's; Polo/Ralph Lauren, Palm",Richard Avedon,1981_03_01
171,2,1981,"Mirabella, Grace","AMERICAN STYLE: Opening the New York collections, Kim Alexis, in American fashion at its best: key pieces, with",,Richard Avedon,1981_02_01
171,1,1981,"Mirabella, Grace","AN UNDERSTATED ATTRACTIVENESS: Beverly Johnson with one of the key looks, key pieces this year—a",Celia Sebiri earrings at Henri Bendel. M&J Savitt necklace to order at Bloomingdale's Cul-de-Sac.,Richard Avedon,1981_01_01
170,12,1980,"Mirabella, Grace","ORNAMENTAL PLEASURES: On our cover, Brooke Shields, in fashion at its most ornamental—Yves Saint Laurent's","Jacket fabric: silk velvet by Gandini; Bucol lamé collar and facing. Blouse fabric, silk satin by Abraham. Skirt",Richard Avedon,1980_12_01
170,11,1980,"Mirabella, Grace","THE SURPRISE ACCESSORIES: Kim Alexis, in two of the season's best ""accessories""—a pretty blouse and",Silk taffeta skirt with grosgrain sash. Turnout available late December. To order at Bergdorf Goodman. Also at,Richard Avedon,1980_11_01
170,10,1980,"Mirabella, Grace","THE COVER: Brooke Shields, and one of the best of the new fall makeups—natural, subtle, ""real"" color from a","Earrings, Joseph Mazer.",Richard Avedon,1980_10_01
170,9,1980,"Mirabella, Grace",Opening the New York Collections—on our cover—Kim Alexis. And one of the season's most luxurious evening,"Tunic and pants to order at Saks Fifth Avenue. Also at Sara Fredericks, Palm Beach; Neiman-Marcus. Muffler,",Richard Avedon,1980_09_01
170,8,1980,"Mirabella, Grace","On our cover, Gia Carangi and the first thing you're going to want for fall—for right now: something knitted.","Sweater at Bloomingdale’s. One-of-a-kind antique wearrings, Ken Begun. About $20. Hendri Bendel; Bare",Richard Avedon,1980_08_01
170,7,1980,"Mirabella, Grace","On our cover, Nancy Donahue, and the kind of coloring you want right now in makeup—the clear, fresh lift of","Sweater and blouse, available late July at Saks Fifth Avenue, NYC; John Wanamaker; Neiman-Marcus. Earrings at",Richard Avedon,1980_07_01
170,6,1980,"Mirabella, Grace","On our cover, Kim Alexis—a glowing example of American good looks. Here, with a wonderful, new lift-of-pink",,Francesco Scavullo,1980_06_01
170,5,1980,"Mirabella, Grace","On the Cover: Nastassja Kinski—the nineteen-year-old actress who captivated Marcello Mastroianni in ""Stay As",Very much in the air—a new move towards coral. It starts with the real thing…necklace by Angela Cummings of,Richard Avedon,1980_05_01
170,4,1980,"Mirabella, Grace","On our cover, Eva Voorhis and a wonderful new way to look for summer. It starts with makeup colors that have a",Perry Ellis sweater and pants at Henri Bendel. Pants also at Hudson's; Marshall Field's. Russell R. Adams,Richard Avedon,1980_04_01
170,3,1980,"Mirabella, Grace","THE COVER...Sheila Johnson and the special charm of color used as an accessory. In fashion, the unexpected","Oscar de la Renta's silk taffeta blouse, rayon crêpe skirt, and rayon faille jacket (about $660). Available at Saks",Patrick Demarchelier,1980_03_01
170,2,1980,"Mirabella, Grace","On our cover, actress Brooke Shields—American beauty at its best—in one of the best looks from the New York",,Richard Avedon,1980_02_01
170,12,1980,"Mirabella, Grace","THE COVER: Nancy Donahue wearing Bill Blass's coral snakeskin jacket, matching wool jersey pants. In the up-","Earrings by Isaac Manevits for Ben-Amun, about $30. Saks Fifth Avenue, NYC; Bullock’s; Bonwit Teller. Muffler,",John Stember,1980_01_01
169,11,1979,"Mirabella, Grace","ON OUR COVER: Kim Alexis and the look—the special allure—of holiday glamour. Rich, real-color",,John Stember,1979_12_01
169,10,1979,"Mirabella, Grace","ON OUR COVER: Kim Alexis and the news of sheer-color makeup with depth, clarity—to go with color...with grey!","Sweater, about $96. Marshall Field. Earrings, about $80. Bergdorf Goodman; Lina Lee, Beverly Hills.",Stan Malinowski,1979_11_01
